area,n_quartos,n_banheiros,vizinhanca,ano_contrucao,preco
146.51,4,2,Rural,1979,181472.01
156.17,5,2,Urbano,1982,247683.38
144.56,2,3,Rural,1972,174119.78
241.27,3,1,Suburbio,1970,249931.38
276.48,4,2,Rural,2012,352084.05
186.92,4,2,Urbano,2019,356256.91
152.83,2,2,Suburbio,2017,115738.6
166.76,2,3,Rural,1985,265399.28
190.54,3,2,Rural,1986,205543.45
245.54,3,1,Suburbio,1950,248155.87
239.6,3,1,Urbano,1975,318796.4
219.53,4,3,Urbano,1991,254479.26
262.08,4,3,Urbano,1989,248782.22
276.94,3,3,Suburbio,2002,320922.18
218.69,4,1,Rural,2011,265274.0
247.4,2,3,Suburbio,1993,283301.94
234.95,5,3,Rural,1985,291195.67
220.27,4,1,Suburbio,1953,240277.01
231.89,3,2,Rural,1970,316708.6
209.4,4,3,Rural,1966,267724.7
110.46,2,2,Suburbio,1965,52033.76
208.85,3,2,Suburbio,1990,157260.98
223.71,5,2,Suburbio,2004,349887.39
222.97,3,2,Rural,2006,302581.52
214.23,3,3,Suburbio,2015,267740.43
276.94,3,3,Rural,1987,296942.75
151.62,4,3,Rural,2005,211665.62
151.15,5,1,Suburbio,1986,240462.68
183.2,2,1,Urbano,1999,221900.77
257.16,4,2,Urbano,2004,337510.51
212.0,5,1,Rural,1950,351438.55
221.3,5,2,Rural,2014,207718.74
158.77,4,2,Urbano,2014,187379.39
230.31,3,3,Rural,1993,325104.83
226.13,5,3,Urbano,1961,234064.51
153.1,2,1,Rural,2002,168976.5
122.35,4,3,Rural,2010,72491.39
250.84,5,1,Suburbio,1962,397825.34
208.85,2,3,Urbano,1991,224680.05
264.03,2,3,Rural,1995,297609.72
209.68,2,1,Urbano,1991,211357.56
156.36,2,2,Suburbio,1965,191156.38
154.5,4,1,Urbano,1993,198444.29
278.52,2,3,Rural,2019,227602.85
264.77,4,2,Urbano,1965,227374.58
222.69,2,3,Suburbio,1971,311492.25
250.37,2,3,Urbano,1984,341035.65
244.43,4,3,Urbano,1998,329215.41
231.79,3,2,Urbano,2020,189722.89
209.59,5,3,Urbano,2013,315304.25
252.23,5,1,Rural,1980,229019.48
198.44,4,1,Urbano,1950,218041.22
265.05,2,1,Suburbio,1974,256367.86
234.12,4,2,Urbano,1969,427589.09
133.87,2,1,Suburbio,1957,161116.82
145.21,4,3,Suburbio,2013,182494.89
212.84,5,2,Suburbio,1965,276165.91
235.32,4,3,Suburbio,2004,314516.61
262.92,5,3,Rural,1975,272012.27
223.8,5,3,Urbano,2014,342249.54
223.9,5,1,Urbano,1977,258023.51
198.44,4,1,Rural,1995,115459.88
244.89,3,2,Urbano,2003,240419.97
246.01,4,2,Rural,2003,388951.79
181.25,4,1,Suburbio,2021,250119.21
195.47,3,1,Urbano,1998,210586.98
157.75,3,3,Suburbio,1995,234243.62
103.31,5,1,Urbano,1950,69293.97
93.0,2,3,Urbano,1993,163837.68
152.45,2,1,Urbano,1953,252127.99
113.25,5,3,Suburbio,1980,117989.36
240.53,4,1,Rural,1964,313948.45
172.24,2,1,Suburbio,1950,254919.28
256.32,4,2,Rural,2021,197521.83
208.85,3,2,Urbano,1955,198494.04
128.58,3,3,Urbano,1976,152204.76
225.38,5,2,Urbano,1975,308529.31
247.22,4,2,Urbano,2015,308854.9
200.02,5,1,Suburbio,1962,246860.55
192.87,2,3,Rural,2020,225867.24
251.49,2,2,Rural,1983,249678.23
160.63,2,2,Rural,1982,108636.48
250.37,4,1,Urbano,1989,299818.56
253.9,5,1,Suburbio,1992,290094.6
226.59,5,1,Urbano,1956,272077.87
115.76,2,3,Rural,1988,130941.48
170.48,5,1,Suburbio,2015,241849.24
228.73,3,3,Suburbio,1985,206273.3
111.67,3,1,Urbano,2013,155086.46
205.04,3,2,Suburbio,1953,169742.87
104.24,3,3,Suburbio,1971,148324.4
130.06,5,1,Suburbio,2020,184460.04
164.07,3,1,Urbano,1953,138095.48
120.12,3,2,Urbano,2013,205414.91
118.82,3,2,Suburbio,1971,183265.4
265.7,3,2,Urbano,2011,284616.47
174.94,3,1,Suburbio,1989,181947.64
244.61,4,2,Rural,1969,284003.77
111.21,4,2,Rural,1958,90959.79
184.04,3,3,Suburbio,2014,198755.15
272.21,3,3,Rural,1972,370459.83
235.42,5,3,Rural,1984,348379.27
162.67,3,1,Rural,2008,270704.15
106.19,2,3,Suburbio,1963,168931.83
149.39,4,1,Urbano,1993,189126.05
206.62,3,2,Suburbio,1971,218168.71
199.46,4,1,Suburbio,1977,199220.2
110.18,3,1,Urbano,2008,129960.02
218.23,2,2,Suburbio,1996,281507.74
135.92,3,3,Suburbio,2017,169378.78
220.37,4,3,Suburbio,2019,248599.11
259.57,4,3,Rural,1966,411678.03
154.13,4,2,Suburbio,1980,119032.88
163.79,5,1,Suburbio,1963,230075.05
181.53,4,2,Urbano,1998,122604.96
274.53,3,2,Rural,2016,296998.84
130.25,2,2,Rural,1970,109470.14
220.09,2,2,Suburbio,1962,246212.2
277.41,3,1,Rural,1999,310583.08
235.42,5,3,Rural,2017,233756.89
106.47,3,3,Urbano,1961,100102.23
201.69,4,2,Urbano,1997,199324.84
173.08,5,1,Rural,2013,331026.6
254.0,3,2,Urbano,1964,231041.35
264.12,5,1,Suburbio,1965,333530.06
138.24,2,2,Urbano,2021,61092.66
179.12,3,3,Suburbio,1999,205778.31
274.9,3,3,Urbano,1990,384570.74
247.4,2,2,Rural,1953,339772.95
144.0,5,3,Suburbio,1969,186745.13
124.21,2,2,Urbano,1957,185559.08
173.82,5,1,Urbano,2017,213894.31
152.36,3,1,Suburbio,1996,180978.02
260.31,5,1,Urbano,1982,243011.57
276.48,5,1,Rural,1954,265075.95
136.75,4,2,Suburbio,2017,163315.13
275.83,4,3,Rural,1990,384847.05
106.84,4,1,Suburbio,2010,190479.2
226.5,2,3,Suburbio,1973,204129.21
215.63,2,2,Suburbio,1976,249930.12
244.71,4,3,Suburbio,1978,372750.47
117.24,3,3,Rural,2016,189650.2
258.92,3,3,Rural,1986,308299.31
106.19,3,2,Suburbio,2002,95784.07
124.95,2,2,Suburbio,1951,165456.12
150.78,5,2,Rural,1986,236531.67
187.29,2,3,Suburbio,2021,212190.75
241.08,4,1,Suburbio,2014,298280.36
174.66,5,1,Rural,1997,172765.25
93.0,3,3,Rural,1998,151917.35
176.14,2,1,Rural,1996,196497.07
216.19,2,1,Urbano,1953,212603.17
116.41,4,3,Suburbio,1952,205827.91
248.52,3,2,Rural,1985,350608.13
134.9,2,1,Suburbio,1955,64055.91
191.38,2,2,Urbano,1983,202645.47
202.81,5,1,Rural,2001,215636.31
187.11,2,3,Rural,1980,210336.98
93.65,5,3,Suburbio,1983,161063.74
209.59,2,2,Suburbio,1991,162732.68
197.14,3,2,Rural,1997,283190.39
249.17,4,2,Rural,2005,257018.56
168.62,3,2,Suburbio,1967,161315.09
112.13,4,3,Suburbio,1963,171344.51
200.11,2,3,Rural,2018,301758.33
130.34,3,3,Urbano,2007,186512.32
106.93,5,2,Suburbio,2019,147961.74
97.83,4,3,Suburbio,2005,96856.09
199.09,4,3,Suburbio,2002,241976.24
250.47,2,1,Rural,2018,256546.85
273.41,4,1,Rural,2009,245612.13
151.15,4,1,Rural,1981,192616.91
147.34,4,2,Suburbio,1996,234537.63
246.01,2,2,Suburbio,1971,266525.8
277.87,3,3,Urbano,1953,411274.82
226.96,2,3,Rural,1974,241617.27
227.15,5,2,Rural,2010,230463.82
102.47,4,1,Suburbio,1961,249885.95
267.1,4,3,Suburbio,1980,320712.17
116.41,3,1,Urbano,1950,131536.16
209.03,4,3,Suburbio,2010,258681.65
198.35,3,1,Suburbio,1955,236721.58
140.19,4,3,Suburbio,1971,152417.96
231.89,4,1,Urbano,1961,277449.02
102.01,2,1,Urbano,1972,97639.64
107.02,2,2,Urbano,1984,68864.73
267.93,5,3,Urbano,1963,292602.02
177.72,3,1,Urbano,1979,163126.63
271.18,5,2,Rural,1971,316117.16
174.38,2,3,Suburbio,1965,173591.52
124.21,3,2,Urbano,2020,245240.87
253.53,2,1,Urbano,1964,299136.08
169.18,3,3,Urbano,1951,102620.91
203.09,4,1,Urbano,1971,174740.91
254.83,5,1,Suburbio,2012,303839.76
181.72,5,2,Suburbio,1964,255500.65
251.21,3,1,Rural,1968,305226.15
107.77,5,3,Suburbio,1970,174048.92
241.83,2,2,Urbano,1976,240369.94
167.23,5,1,Urbano,1968,310732.59
129.79,3,1,Urbano,1975,125680.08
213.68,5,1,Urbano,1998,303253.75
168.62,5,2,Suburbio,2007,137931.98
273.04,2,3,Suburbio,2016,238181.44
234.77,4,2,Rural,1974,299144.48
271.18,2,1,Suburbio,1971,340122.36
224.36,5,2,Urbano,1963,230193.18
200.48,5,1,Urbano,1958,300494.9
206.06,4,2,Suburbio,1971,267560.27
130.06,4,1,Rural,1964,173748.31
152.27,2,2,Rural,1989,198112.87
191.01,4,1,Suburbio,2014,237224.43
156.73,2,1,Suburbio,2002,130383.65
135.55,3,2,Suburbio,1980,248587.29
181.53,5,2,Urbano,1959,268826.74
269.98,4,1,Suburbio,1983,307426.14
136.47,3,3,Suburbio,1986,224293.97
222.78,3,1,Rural,1962,335992.38
189.99,2,1,Rural,1987,265649.08
162.49,2,3,Urbano,1994,218960.65
250.19,4,1,Rural,1959,257512.56
96.34,2,2,Rural,1971,86619.3
114.18,3,2,Suburbio,2010,48780.11
221.85,3,3,Rural,1987,274896.26
145.11,5,1,Rural,2007,181237.83
133.5,3,2,Rural,1975,49052.37
260.04,4,1,Rural,1998,182649.24
214.23,5,3,Rural,2011,347942.01
95.32,2,2,Rural,1958,31998.02
113.81,5,3,Rural,2009,181103.26
213.68,3,1,Rural,1979,172216.08
166.95,4,1,Urbano,1970,273262.85
244.52,2,1,Suburbio,1999,306987.05
119.19,2,3,Rural,1978,172933.77
174.47,3,2,Suburbio,1989,159685.45
182.0,4,3,Rural,1966,244916.47
232.63,3,2,Urbano,2017,250927.64
134.9,3,1,Rural,2013,86276.33
187.57,4,1,Urbano,1972,209029.95
264.96,3,3,Rural,1956,267060.03
168.62,4,2,Rural,1983,158867.82
154.03,4,1,Suburbio,1973,200254.72
235.88,3,1,Rural,1956,197039.39
143.63,3,3,Rural,1957,251427.16
205.78,5,3,Urbano,1952,298798.86
192.5,2,2,Suburbio,1953,209615.38
235.51,2,1,Rural,2012,343628.23
94.39,4,2,Suburbio,2015,86742.7
203.92,5,2,Suburbio,2018,260504.83
208.38,4,2,Rural,1959,267664.33
107.49,5,3,Rural,2012,87137.89
137.13,4,2,Rural,1986,217625.44
192.22,2,2,Rural,2021,179619.68
222.6,5,2,Rural,1952,304272.54
140.93,3,3,Suburbio,1978,180446.94
102.01,3,3,Urbano,2011,96810.16
270.81,2,1,Suburbio,1982,293526.35
257.16,5,3,Rural,2009,333027.91
191.38,3,3,Suburbio,1991,261561.33
118.82,3,2,Urbano,2011,60826.53
220.37,3,1,Suburbio,1955,278442.16
138.98,2,3,Rural,1998,123828.1
120.87,4,1,Rural,2021,88586.06
109.63,3,2,Rural,1992,134443.9
149.2,3,3,Urbano,1958,136925.17
197.14,4,2,Rural,2000,234164.89
157.84,3,2,Rural,1963,150304.55
185.06,5,1,Rural,1973,240050.5
198.72,3,3,Rural,2021,277542.7
110.55,4,1,Suburbio,1982,197241.25
116.31,2,2,Rural,1978,101805.6
183.95,2,3,Suburbio,1951,197810.62
179.02,5,2,Urbano,2001,172279.06
202.9,3,1,Suburbio,1994,205236.28
211.73,3,1,Suburbio,1987,206408.53
217.95,4,2,Suburbio,1994,279439.98
104.7,4,1,Suburbio,1965,127174.72
94.48,5,1,Suburbio,1996,127458.04
261.62,5,2,Suburbio,1974,356063.83
256.23,3,3,Urbano,2006,344787.62
145.39,3,3,Rural,1968,153282.85
145.77,5,3,Urbano,1987,23126.0
217.95,2,2,Suburbio,2015,297939.72
268.95,2,2,Suburbio,1956,348536.61
156.54,2,1,Suburbio,1969,145096.73
261.52,2,3,Urbano,1953,316533.46
150.97,5,1,Suburbio,1964,273166.56
214.7,4,2,Urbano,2013,343467.41
275.55,2,3,Suburbio,2006,258865.96
172.15,5,2,Suburbio,1999,197763.07
249.54,2,1,Urbano,1966,196431.16
182.18,3,1,Urbano,1965,192271.57
247.31,2,2,Urbano,1952,252805.98
107.21,5,2,Urbano,1994,20075.49
138.33,3,3,Suburbio,1993,225167.54
223.8,3,2,Suburbio,2011,333108.7
165.74,2,1,Rural,1958,253462.84
197.6,2,1,Suburbio,2009,273921.24
274.25,3,2,Suburbio,2006,230500.45
224.45,4,2,Suburbio,2010,361696.08
263.29,5,3,Suburbio,2013,319789.85
115.66,5,1,Suburbio,1966,174765.26
204.29,5,1,Rural,2007,300718.82
191.57,5,1,Urbano,1996,261326.85
232.26,5,2,Suburbio,2001,363561.91
251.3,3,1,Suburbio,1967,251734.59
163.32,5,2,Urbano,1986,280965.9
142.79,4,3,Urbano,2019,110904.33
268.49,4,2,Rural,1966,335743.31
263.94,2,3,Rural,1952,276296.34
178.37,2,3,Rural,1982,222212.13
130.71,2,2,Urbano,1956,221697.82
141.58,2,3,Suburbio,1951,223582.38
169.73,3,2,Urbano,1983,206212.79
234.95,4,1,Suburbio,1953,214945.59
176.7,3,2,Urbano,1998,152143.3
264.59,4,3,Urbano,1966,376480.3
96.15,3,3,Urbano,2020,135298.45
156.45,4,1,Urbano,1961,160232.42
94.67,2,2,Suburbio,1993,70855.37
122.63,4,1,Suburbio,1998,183736.73
260.04,2,3,Suburbio,2018,388318.72
140.38,4,2,Suburbio,1966,165073.72
129.97,3,3,Rural,1987,213210.04
153.57,5,2,Rural,2005,140382.87
183.11,4,1,Urbano,2010,260495.08
269.98,3,1,Suburbio,1981,385304.71
136.57,5,3,Suburbio,2005,144254.8
201.23,3,1,Urbano,1972,277469.11
196.49,5,1,Urbano,2015,252361.13
220.83,2,3,Urbano,2016,256203.0
170.29,4,3,Suburbio,1954,139343.73
262.27,3,3,Suburbio,1972,246154.69
160.35,4,2,Suburbio,2000,218372.93
277.04,2,3,Rural,1974,309839.69
172.15,2,2,Urbano,1973,219293.01
97.55,4,3,Suburbio,1979,203482.19
249.72,3,2,Urbano,2000,220036.03
252.79,3,3,Rural,1979,365466.45
146.23,3,2,Urbano,2021,125013.15
205.59,4,1,Suburbio,1995,234126.81
199.56,3,3,Urbano,2006,213331.2
106.75,3,3,Suburbio,1978,91677.17
121.98,5,2,Rural,2011,262434.52
145.77,3,1,Rural,1978,184359.54
219.72,2,1,Suburbio,1986,323820.04
121.15,3,2,Rural,1989,97808.6
252.23,4,3,Urbano,2004,298075.95
156.17,4,1,Rural,1975,128702.11
170.66,3,3,Rural,1976,129730.2
260.69,4,2,Rural,2000,326637.48
192.96,4,3,Rural,1971,241442.14
185.99,3,1,Suburbio,2014,259033.57
134.06,5,2,Rural,1987,299103.34
149.76,5,1,Suburbio,1950,127303.86
185.06,5,3,Suburbio,1964,210318.9
117.34,5,3,Suburbio,1960,188936.22
192.87,2,2,Urbano,2005,185380.13
241.08,3,1,Urbano,1987,294176.34
186.08,4,1,Suburbio,2003,198735.76
245.54,4,1,Urbano,1972,268807.85
93.27,3,2,Rural,1986,65228.45
197.51,4,3,Urbano,2000,262087.57
206.15,2,3,Rural,2010,255398.75
164.72,5,3,Urbano,1971,200902.12
174.29,3,1,Suburbio,2015,237628.65
184.97,4,2,Suburbio,2004,201135.29
174.94,2,1,Urbano,2016,327202.41
220.46,4,2,Rural,1975,313572.85
97.18,2,1,Rural,1987,161735.09
173.36,4,2,Suburbio,1999,135186.94
169.27,5,1,Rural,1972,206442.25
179.77,3,1,Suburbio,2002,176508.48
264.12,5,2,Urbano,1988,295895.56
153.75,5,3,Urbano,1972,215023.38
117.8,4,3,Urbano,2015,145269.2
127.18,5,2,Suburbio,1977,156946.24
151.9,3,2,Urbano,2009,246606.27
197.79,2,3,Rural,2016,194238.86
250.19,2,1,Suburbio,1959,281991.7
249.17,4,3,Rural,1983,258071.88
153.85,3,2,Urbano,1950,149913.01
103.96,3,1,Suburbio,1986,118571.52
170.01,2,2,Suburbio,2017,258490.79
261.06,2,3,Suburbio,2020,237178.04
244.06,5,1,Urbano,2016,283416.61
193.33,4,3,Suburbio,2007,234682.71
276.29,2,3,Suburbio,1965,236267.06
220.09,2,3,Urbano,2013,220216.97
161.65,3,1,Urbano,1977,231805.27
231.98,3,3,Rural,2019,293908.29
103.68,3,1,Rural,1977,148823.05
265.05,2,3,Rural,1967,317837.86
166.3,4,3,Suburbio,1992,311154.73
199.74,5,2,Urbano,1963,256000.16
224.45,4,3,Rural,1971,215724.19
272.3,2,1,Rural,1963,249356.74
186.92,5,2,Urbano,1968,223423.08
247.49,4,1,Suburbio,1968,272864.8
193.33,2,3,Urbano,1988,202344.33
151.71,4,2,Urbano,1982,228849.23
140.47,2,2,Urbano,1987,240983.24
257.71,3,2,Suburbio,1981,289649.3
167.32,4,1,Rural,1963,144200.25
196.86,3,2,Rural,1972,257560.47
247.22,3,2,Suburbio,1975,273196.62
198.91,5,1,Urbano,1999,235009.58
144.84,5,1,Urbano,2018,166047.69
243.78,4,1,Rural,2004,258771.6
138.15,2,3,Rural,2016,96385.92
209.96,5,1,Urbano,1969,246585.67
270.16,5,1,Suburbio,2005,304455.99
176.14,3,2,Rural,1964,171955.1
213.21,3,3,Suburbio,2008,175119.21
205.5,2,2,Suburbio,2006,273977.8
158.21,5,1,Urbano,1980,133660.82
229.47,5,1,Suburbio,2018,276587.19
146.79,2,2,Urbano,1963,199265.55
166.2,5,3,Suburbio,1971,133679.27
172.8,4,3,Rural,1996,187289.18
115.76,4,2,Urbano,1991,195380.25
277.41,2,1,Urbano,2020,290467.53
195.0,3,3,Urbano,2010,125993.07
107.12,2,3,Urbano,1954,164864.49
248.89,4,2,Rural,1973,271131.7
228.36,5,3,Urbano,1963,272401.71
185.43,5,1,Urbano,1997,214623.93
195.93,3,2,Rural,1964,270288.25
157.56,3,3,Suburbio,1977,263720.9
214.42,4,1,Rural,1982,343733.46
278.43,3,1,Suburbio,1996,386973.65
208.38,2,2,Urbano,2000,232462.45
194.35,4,2,Urbano,2005,246644.18
192.31,5,1,Suburbio,2015,136921.12
186.55,5,1,Urbano,2003,265746.58
101.54,5,3,Rural,1950,118967.69
257.62,3,3,Rural,1962,225775.66
181.81,4,3,Rural,2004,291978.3
186.83,3,3,Suburbio,1993,261284.0
134.9,2,3,Suburbio,2003,240942.64
206.9,4,2,Suburbio,2016,216203.92
177.54,3,3,Urbano,1998,132355.82
